Client;CHAT;Whiteboard;SEND;RESUME;TSEND;SEND T;XMIT;Passive DCC;Server;RDCC;REVERSE;RSEND;Reverse / Firewall DCC;File servers (FSERVs);XDCC;VOICE
Bersirc;dunno;dunno;dunno;dunno;dunno;dunno;dunno;no;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno
BitchX;yes;no;yes;yes;yes;yes;dunno;no;no;dunno;dunno;dunno;dunno;dunno;yes;dunno
ChatZilla;yes;no;yes;no;dunno;dunno;no;noplanned;no;no;no;no;no;no;dunno;dunno
Colloquy;yes;dunno;yes;yes;dunno;dunno;dunno;yes;no;dunno;dunno;dunno;dunno;dunno;yes;dunno
degesch;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
DMDirc;yes;no;yes;yes;dunno;dunno;no;yes;no;no;no;no;yes;no;no;dunno
ERC;yes;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
HexChat;yes;no;yes;yes;dunno;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno
HydraIRC;yes;no;yes;yes;dunno;dunno;no;dunno;dunno;dunno;dunno;dunno;dunno;no;no;dunno
IceChat;yes;no;yes;dunno;dunno;dunno;no;dunno;dunno;dunno;dunno;dunno;dunno;no;no;dunno
ircII;dunno;dunno;dunno;dunno;dunno;dunno;dunno;no;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno
IRCjr;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;dunno
Ircle;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Irssi;yes;no;yes;yes;dunno;dunno;dunno;yes;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno
KiwiIRC;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;dunno
Konversation;yes;yes;yes;yes;dunno;dunno;dunno;yes;no;dunno;dunno;dunno;yes;dunno;yes;dunno
KVIrc;yes;no;yes;yes;yes;no;no;yes;no;no;yes;yes;yes;yesSupported_Via_Scripting;yesSupported_Via_Scripting;yesNote
LimeChat;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Linkinus;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Mibbit;no;dunno;dunno;dunno;dunno;dunno;dunno;no;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno
mIRC;yes;dunno;yes;yesNote;dunno;dunno;dunno;yes;yes;yesNote;dunno;dunno;yes;yes;yesscript;dunno
Nettalk;yes;no;yes;yes;no;no;no;no;partial;no;no;no;no;dunno;dunno;dunno
Opera;no;dunno;dunno;dunno;dunno;dunno;dunno;yes;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno
PIRCH;yes;no;yes;yesdcc;dunno;dunno;no;no;no;no;no;no;no;no;no;dunno
PJIRC;yes;no;yes;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Quassel;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;dunno
qwebirc;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;dunno
rcirc;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;dunno
Smuxi;dunno;dunno;dunno;dunno;dunno;dunno;dunno;no;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Snak;yes;dunno;yes;yes;dunno;yes;dunno;no;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Visual IRC;dunno;yes;dunno;yesdcc;dunno;dunno;dunno;yes;no;dunno;dunno;dunno;yes;dunno;dunno;yesvoice
WeeChat;yes;dunno;yes;dunno;dunno;dunno;dunno;No;no;dunno;dunno;dunno;dunno;dunno;yes;dunno
XChat;yes;dunno;yes;yes;no;no;dunno;yes;yes;dunno;dunno;dunno;yes;dunno;yesNote;dunno
Client;CHAT;Whiteboard;SEND;RESUME;TSEND;SEND T;XMIT;Passive DCC;Server;RDCC;REVERSE;RSEND;Reverse / Firewall DCC;File servers (FSERVs);XDCC;VOICE
