Name;Manager;Established;Server side: all free software;Client side: all-free JS code;Developed or used CDE;Require free software on registration;Ad-free;Notes
Assembla;Assembla, Inc;2005;No;unk;unk;No;Yes; 
Betavine;Vodafone;2007;No;unk;unk;No;No;
Bitbucket;Atlassian;2008;No;No;unk;No;Yes;Denies service to Cuba, Iran, North Korea, Sudan and Syria
Buddy;Buddy, LLC.;2015;No;No;unk;No;Yes;Cloud version free for 1 project with no limit on size. Self-hosted version free up to 10 users with Fair Source license applied.
CloudForge;CollabNet;2012;No;unk;unk;No;Yes; 
GitHub;GitHub, Inc;2008-04;No;No;unk;No;Yes;List of government takedown requests:
GitLab;GitLab Inc.;2011-09;Partial;Yes;GitLab Community Edition (CE) — free software<br/>GitLab Enterprise Edition (EE) — proprietary;No;Yes;Denies Service to Crimea, Cuba, Iran, North Korea, Sudan, and Syria
GNU Savannah;Savannah Administration;2001-01;Yes;Yes;[[Savane (software)|Savane]];Yes;Yes;Project by the Free Software Foundation and projects with a GPL compatible license. Staff must approve requests for project approval, deletion, and so forth, which can take time if staffing levels are low. Code access review
Helix TeamHub;Perforce Software;1995;No;No;Cloud version - free up to 5 users. On-premises version requires a license.;No;Yes;Free cloud version has no limits on projects within 5gb storage limit. On-premises version has DevOps pipeline technology and free replicas.
Launchpad;Canonical;2004;Yes;No;Launchpad;No;Yes;Supports Bazaar and Git for version-controlled repository hosting.
OSDN;Q11237954;2002-04;unk;Yes;unk;No;No;For open-source projects only.
Ourproject.org;Comunes Collective;2002;Yes;Yes;[[FusionForge]];No;Yes;For free software, free culture and free content projects.
OW2 Consortium;OW2 Consortium;unk;unk;No;unk;No;Yes;Oriented on middleware technology.
Phabricator;Phacility, Inc;2010;Yes;Yes;unk;No;Yes;Hosted option provided by Phacility
Rosetta Code;unk;2007;unk;unk;unk;Yes;Yes;Programming chrestomathy wiki for common algorithms
SEUL;unk;1997-05;unk;No;unk;No;Yes;
SourceForge;BizX LLC;1999-11;Yes;Yes;[[Apache Allura]];No;No;For open-source projects only.Denies service when accessed from Cuba, Iran, North Korea, Sudan, Syria
Team Foundation Server;Microsoft;2012-2005;unk;No;unk;No;Yes;
Visual Studio Team Services;Microsoft;2012;No;No;Since IDE Visual Studio 2012 and even Community Edition 2015 fully integrated with Team Services. Also Team Services has Web Interface (CDE).;No;Yes;Most features are free for teams of 5 members or less
Name;Manager;Established;Server side: all free software;Client side: all-free JS code;Developed or used CDE;Require free software on registration;Ad-free;Notes
